normal,gen_z,Word/Phrase,Definition,Popularity/Trend Level
It is not a technical issue; it is merely an Error Between Keyboard And Chair.,"It’s not a tech issue, just an EBKAC!",,,
I accidentally deleted the document and lost my work.,I accidentally hit ED and lost my work.,,,
That took a lot of effort to complete.,That took a lot of EF4T to complete.,,,
He gave me a side-eye after pulling that prank.,He gave me an EG after pulling that prank.,,,
"I informed him that he would be unsuccessful, and he eventually had to accept the failure.","I told him he’d fail, and he totally had to EI.",,,
"The blog post is still a work in progress, I will send it when it is ready.","The blog post is still EIP, I’ll send it when it’s ready.",,,
Could you explain how blockchain works in a simple and easily understandable manner?,Can you ELI5 how blockchain works?,,,
I will send you the details via email.,I’ll send you the details via EM.,,,
What is your email address so I can send the files?,What’s your EMA so I can send the files?,,,
That mistake was so embarrassing.,That mistake was so EMBAR!,,,
"Excuse me for my bluntness, but I think you are mistaken about that.","EMFBI, but I think you’re mistaken about that.",,,
"Excuse me for butting in, may I contribute a point to the discussion?","EMFBI, can I add something here?",,,
I sent you an email this morning.,I sent you an EMSG this morning.,,,
"That is sufficient, let us proceed.","That’s ENUF, let’s move on.",,,
Please submit the report by the end of the day.,Please submit the report by EOD.,,,
"We have already made a decision, effective at the end of the day.","We’ve already decided, EOD.",,,
That concludes the information for today.,"That’s all for today, EOL.",,,
This software is nearing its end of life.,This software is nearing its EOL.,,,
"The meeting has been rescheduled to 3:00 PM, end of message.","Meeting moved to 3 PM, EOM.",,,
We will discuss this after the end of the semester.,We’ll talk after EOS.,,,
"I have sent all the data, end of transmission.","I’ve sent all the data, EOT.",,,
I used to play EverQuest frequently.,I used to play EQ all the time.,,,
He participates in erotic role-playing in online games.,He’s into ERP in online games.,,,
Are you serious? I cannot believe that happened.,ERS2? I can’t believe that happened!,,,
I accidentally hit the escape key and lost all my work.,I accidentally hit ES and lost all my work.,,,
I was so upset that I instructed him to consume excrement and expire.,"I was so mad, I told him to ESAD.",,,
What is your estimated time of arrival? The meeting starts soon.,What’s your ETA? The meeting starts soon.,,,
Edit to add: I just found the missing files.,ETA: I just found the missing files.,,,
That was the best movie ever.,That was the best movie EVA!,,,
The evolution of technology is fascinating.,The EVO of technology is fascinating.,,,
He was giving me the side-eye about my new haircut.,He was EWG me about my new haircut.,,,
"I sent an embarrassing email last night, which was a result of being extremely intoxicated.","I sent an embarrassing email last night, totally EWI.",,,
"Her outfit was excessive, but I loved it.","Her outfit was so EXTRA, but I loved it!",,,
She handled the news with controlled enthusiasm.,"She handled the news EYC, excited but not overwhelmed.",,,
That task was easy; it presented no difficulty.,"That task was EZ, no problem!",,,
The instructions were extremely easy to follow.,The instructions were super EZY to follow.,,,
The gamer I met was unsuccessful.,The gamer I met was an F.,,,
Let us meet face-to-face to discuss the details.,Let’s meet F2F to discuss the details.,,,
"That new game is free to play, therefore it is accessible to everyone for trial.","That new game is F2P, so everyone can try it.",,,
"I will follow you if you follow me, provided you are interested.",I’ll F4F if you’re interested!,,,
I have been working for hours and I am exhausted right now.,I’ve been working for hours and I’m FAAK right now.,,,
You look absolutely amazing tonight.,You look absolutely FAB tonight!,,,
"I forgot my wallet at home, which is an embarrassing mistake.","I forgot my wallet at home, facepalm.",,,
That video was funny as fuck.,That video was FAF!,,,
"Hello, everyone. Let us socialize this weekend.","What’s up, FAM? Let’s hang out this weekend.",,,
Consult the frequently asked questions before submitting any inquiries.,Check out the FAQ before you ask any questions.,,,
"I am finished with this nonsense, for all I know.","I’m done with this nonsense, FAY!",,,
Please send me a friend request on Facebook.,Add me on FB!,,,
"She is my best friend, we were introduced through a common group.","She’s my FBB, we met through a group.",,,
I will Facebook you later about the event.,I’ll FBC you later about the event.,,,
"This is a photograph from my vacation last year, uploaded for Flashback Friday.","Here’s a pic from my trip last year, #FBF.",,,
"We are friends because of social media, but we have not met in person.","We’re FBFs, but we haven’t met in person.",,,
We are having pizza and wings; it is time for Flashback Friday.,"Pizza and wings, time for some FBF!",,,
He is merely an acquaintance; we do not communicate frequently.,"He’s just an FBFR, we don’t talk much.",,,
"If you want to skip the movie, forget about it.","If you want to skip the movie, FBM.",,,
We are finally Facebook Official; we have changed our relationship status.,We’re finally FBO—changed our relationship status!,,,
"We are in this situation together, for better or worse.","We’re in this together, FBOW.",,,
I am hoping intensely that I receive the job offer.,FC that I get the job!,,,
"I have a prior commitment today, so I am unable to accept any further meetings.","I’ve got an FC today, can’t take any more meetings.",,,
"For goodness' sake, please provide the answer immediately","FC’INGO, just tell me the answer already!",,,
"For crying out loud, why is this taking so long?","FCOL, why is this taking so long?",,,
"We lost the game, and I feel disappointed.","Lost the game, feelsbadman.",,,
"I was rejected for the third time, which is disappointing.","Got rejected for the third time, feelsbatman.",,,
"I have successfully completed my project ahead of schedule, which is satisfying.","Just finished my project early, feelsgoodman.",,,
"If they did not appreciate my jest, for every item there is a corresponding item to be judged.","If they didn’t like my joke, FEITCTAJ.",,,
I would like to publicly acknowledge my favorite accounts for Follow Friday.,Shoutout to my favorite accounts for #FF!,,,
It is a free-for-all in the group discussion; all behavior is acceptable.,"It’s an FFA in the chat, anything goes!",,,
"For goodness sake, could we please complete this task?","FFS, can we please get this done?",,,
"You may complain as much as you desire, for real.","You can complain all you want, FICCL.",,,
"I have just created a very amusing joke, for your information.","Just made the best joke, FIF!",,,
How does this work? I don't know,How does this work? FIIK!,,,
"This meeting is unproductive, for all intents and purposes.","This meeting is going nowhere, FIIOOH.",,,
My father-in-law is visiting this weekend.,My FIL is visiting this weekend.,,,
"You will always be first in my heart, regardless of the circumstances.","You’ll always be FIMH, no matter what.",,,
"I am going to get some food, would you like anything?","I’m finna grab some food, you want anything?",,,
"She posted it on her secondary, private account, not her primary account.","She posted it on her finsta, not her main account.",,,
I have been working all day.,"Been working all day, FISH.",,,
"The answer is easy, you simply need to fill in the blank.","The answer is easy, just FITB.",,,
"I spilled coffee all over my laptop, which is very frustrating.","Spilled coffee all over my laptop, FML.",,,
That joke was extremely funny.,That joke had me FOMC!,,,
"I have a significant fear of missing out, as everyone is attending that concert except for me.","I have such FOMO, everyone’s going to that concert except me.",,,
He provoked me significantly; my desire was to instruct him to perish.,"He really made me mad, I just wanted to tell him FOAD.",,,
I heard about the party from a friend of a friend.,I heard about the party from a FOAF.,,,
That joke caused me to laugh hysterically.,That prank had me FOMCL!,,,
"That examination was difficult, for real though.","That test was tough, FRT.",,,
"Thank you, from the bottom of my heart, for everything you have done.","Thank you, FTBOMH, for everything you’ve done.",,,
"You said the movie was bad, but I fixed that for you—it is great!","You said the movie was bad, but I FTFY—it’s great!",,,
"We missed the bus, for the loss.","We missed the bus, FTL!",,,
"I obtained the final slice of pizza, which is an excellent outcome.","Got the last slice of pizza, FTW!",,,
"You have ruined my arrangements, I am extremely displeased.","You messed up my plans, FU!",,,
That project is completely ruined now.,That project is completely FUBAR now.,,,
